PostId;StudentId;Content
3;417;"Stellen Sie sich folgende Situation vor: Sie arbeiten in einer StartUp Software-Firma mit 8 Mitarbeitern. Der Chef der Firma hat ein Meeting einberufen, um zu diskutieren wie man als Firma versuchen kann im Broalltag den Abfall zu reduzieren. Alle 8 Mitarbeiter brainstormen zusammen in einem Raum. Worauf sollte geachtet werden, damit Brainstorming in einer solchen Situation gelingt? - Regeln fr das Bainstormen offen legen, z.B. keine Kritik, Ergnzungen bestehender Ideen erwnscht --> gegen Bewertungsangst- Festhalten von Ideen auf Papier oder an einer Pinnwand - Zunchst jeder fr sich und im Anschluss alle zusammen oder zunchst in Zweiergruppen austauschen und dann in der gesamten Gruppe-> Stimulierungseffekt wird nicht oder nur minimal durch Blockierungseffekt beeinflusst ( in 2er Gruppe)- jeder sollte die Mglichkeit haben sich zu uern- Pausen, die fr den Abbruch von Gedanken sorgen, sollten so gering wie mglich gehalten werden --> Gedanken sollten aufgeschrieben werden knnen --> gegen Produktionsblockierung- Einleitung in der klar herausgestellt wird, dass jede Meinung wichtig ist und Folgen fr jeden einzelnen hat--> gegen Trittbrettfahrer"
4;437;"Hallo zusammen!Ich werde morgen oder Donnerstag dazu kommen unsere Gruppenaufgabe zu bearbeiten. Falls bis dahin jemand schon angefangen hat, lese ich es mir einfach durch und fge noch neue Aspekte hinzu. Ansonsten mache ich auch gerne einen Anfang.Bisher war meine Erfahrung ganz gut (hatte 2x die gleiche Gruppe, in der nur eine Person nichts gemacht hat) und bin daher ganz zuversichtlich ;) Hoffe bei euch war es nicht ganz so schlimm und ihr seid noch motiviert genug :DMfGJulian"
5;443;"Lieber Julian,ber meine bisherigen Erfahrungen innerhalb der Gruppen-Arbeiten schweige ich einfach mal - aber es kann ja nur besser werden und zumindest sind wir jetzt schon einmal zu zweit :)Ich werde erst morgen dazu kommen, mich richtig auf die Bearbeitung vorzubereiten. Ich wrde vorschlagen, dass wir uns schon einmal einen groben Fahrplan hinsichtlich der Beantwortung berlegen und diesen dann - unter Absprache - peu  peu mit Hintergrundinformationen aus dem Text spicken. Das alles kann ja auch schon im Etherpad geschehen. Einverstanden?Liebe Gre, Svenja"
6;417;"Hallo Ihr:)Na dann sind wir ja schon einmal zu dritt.Ich habe meine Grundberlegungen bereits in das Etherpad gestellt. Sind bisher allerdings nur Stichpunkte, da ich mich auch erst frhstens Morgen ausfhrlich mit der Aufgabe beschftigen kann.Liebe Gre,Nadine"
7;437;"Bisher war es in meiner Gruppe so, dass wir im Etherpad unsere Ideen und kleine Texte aufgeschrieben haben und dann habe ich am Ende noch meinen Text ergnzt, alles editiert und dann haben wir es so abgegeben^^Ich schaue mir zumindest nachher die Stichpunkte an, mal schauen ob ich heute noch schaffe mir die Literatur durchzulesen und was zu ergnzen.MfGJulian"
9;443;"Entgegen der weit verbreiteten Annahme, das spontane und aktive Brainstorming innerhalb einer Gruppe fhre zwangslufig zu zahlreicheren und qualittiv hochwertigeren Ergebnissen, wird unter anderem von Stroebe und Nijstad widerlegt, indem nicht nur die kognitiven Prozesse des Individuums nher betrachtet, sondern auch die daraus resultierenden Auswirkungen auf die Pruduktivitt der Interaktion innerhalb des Kollektivs thematisiert werden. Ein 2-Phasen-Modell, bestehend aus der Phase der Wissensaktivierung und der Phase der Ideengenerierung, soll die gezwungenermaen entstehenden Wartezeiten im kognitiven Prozess der Teilnehmer durch das turn-taking innerhalb der Interaktion vermeiden, da diese sogenannten Produktivittsblockierungen eine der Hauptursachen fr den letztlich resultierenden Produktivittsverlust zu sein scheinen. Lsungsvorschlge fr diese komplexen Problematiken sind beispielsweise das Niederschreiben der individuellen Ideen, bevor eine Verbalisierung und Auseinandersetzung mit den Ideen und Einwrfen anderer Brainstorming-Teilnehmer vorgenommen und verarbeitet werden muss. Dies knne auch elektronisch abgewickelt werden, um Verbalisierungsprozesse und Blockierungen wie die Wartezeit beim turn-taking in der Gruppe zu umgehen. Problematik: Abnahme der Verarbeitungstiefe durch vorzeitigen Kategorienwechsel bei homogener Stimulierung; Selbiges bei der Verarbeitungsbreite, die durch heterogene Stimulierung ausgelst wird- Regeln fr das Bainstormen offen legen, z.B. keine Kritik, Ergnzungen bestehender Ideen erwnscht --> gegen Bewertungsangst- Festhalten von Ideen auf Papier oder an einer Pinnwand - Zunchst jeder fr sich und im Anschluss alle zusammen oder zunchst in Zweiergruppen austauschen und dann in der gesamten Gruppe-> Stimulierungseffekt wird nicht oder nur minimal durch Blockierungseffekt beeinflusst ( in 2er Gruppe)- jeder sollte die Mglichkeit haben sich zu uern- Pausen, die fr den Abbruch von Gedanken sorgen, sollten so gering wie mglich gehalten werden --> Gedanken sollten aufgeschrieben werden knnen --> gegen Produktionsblockierung- Einleitung in der klar herausgestellt wird, dass jede Meinung wichtig ist und Folgen fr jeden einzelnen hat--> gegen Trittbrettfahrer"
10;443;"Hey ihr beiden,ich habe auch mal einen Versuch der Einleitung im Etherpad vorgenommen und werde im Folgenden des Bearbeitungsprozesses gern weiterhin meinen Senf dazugeben. Nun sollten wir uns speziell auf das vorgegebene Szenario konzentrieren und Ablauf und Vor- und Nachteile eroieren.Liebe Gre, Svenja"
11;417;"Problematik: Abnahme der Verarbeitungstiefe durch vorzeitigen Kategorienwechsel bei homogener Stimulierung; Selbiges bei der Verarbeitungsbreite, die durch heterogene Stimulierung ausgelst wirdAuer dem Problem der Produktivittsblockierung existieren weitere negative Faktoren, die das Brainstorming beeintrchtigen knnnen. Beispielsweise haben Teilnehmer eine gewisse Bewertungsangst, die durch das Offenlegen der Grundregeln des Brainstormens eingedmmt werden kann. Es sollte klar sein, dass die Teilnehmer keine Kritik an den Gedanken anderer verben, sondern lediglich Ergnzungen fr bestehende Ideen aussprechen drfen. Ein weiterer negativer Effekt ist der des sogenannten Trittbrettfahrens. Um diesem entgegen zu wirken sollte bereits in der Aufgabenstellung deutlich gemacht werden, dass die Meinung jedes einzelnen Teilnehmers erwnscht und unersetzbar ist. Des Weiteren sollte herausgestellt werden, dass die Entscheidung, die am Ende getroffen wird, Auswirkungen fr jeden Teilnehmer hat, damit die Teilnehmer ausreichend motiviert sind sich an dem Brainstormingprozess aktiv zu beteiligen. Infolgedessen sollte jedem Teilnehmer die Mglichkeit zur Beteiligung eingerumt werden. Eine Mglichkeit der Bewltigung wre, dass zunchst immer zwei Teilnehmer  zusammen Ideen entwickeln und festhalten, die sie dann in einer zweiten Phase mit den anderen Teilnehmern austauschen. Auf diese Weise wird der Stimulierungseffekt nicht oder nur minimal durch den Blockierungseffekt beeinflusst."
12;443;"Infolgedessen sollte jedem Teilnehmer die Mglichkeit zur Partizipation eingerumt werden. Eine Mglichkeit der Bewltigung wre, dass zunchst immer zwei Teilnehmer zusammen Ideen entwickeln und festhalten, die sie dann in einer zweiten Phase mit den anderen Teilnehmern austauschen."
13;437;"Sorry, dass ich noch nichts hinzugefgt hab. Das kommt jetzt noch :) "
14;443;"Hey Julian,also knnen wir uns nun darauf verlassen, dass du noch einen Text generierst? Ansonsten mssten wir das bitte rechtzeitig wissen, damit wir dann den Teil bernehmen (was ich nicht hoffe ;)).Gre, SvenjaPS: Andere Gruppenmitglieder mchten sich gar nicht (mehr) zu Wort melden? :D"
15;429;"Ich melde mich jetzt auch mal &gt;.&lt; - hatte nur ganz durcheinander geworfen, dass diese Woche wieder Gruppenarbeit ist, aber ich werde auch noch was ergnzen und/oder Kommentieren :) Meine Gruppenarbeiten waren bisher immer ganz verschieden ;-)"
16;417;"Problematik: Abnahme der Verarbeitungstiefe durch vorzeitigen Kategorienwechsel bei homogener Stimulierung; Selbiges bei der Verarbeitungsbreite, die durch heterogene Stimulierung ausgelst wird. Auer dem Problem der Produktivittsblockierung existieren weitere negative Faktoren, die das Brainstorming beeintrchtigen knnnen."
17;437;"Sorry, knnt euch verlassen. Die Woche war ein Durcheinander mit noch mehr Gruppenarbeiten... ;)Ich sitze jetzt gerade am PC und verwerte meine Stichpunkte zu einem Text :DIch editiere dann auch alles und mach es abgabefertig.MfG und sorry fr das vielmalige Versprechen (Mittwoch, Donnerstag, Samstag...)Julian"
18;437;"//An die bungsleiter: Durch editieren viel grn, aber Aufgabe zusammen erledigt. Entgegen der weit verbreiteten Annahme das spontane und aktive Brainstorming innerhalb einer Gruppe fhre zwangslufig zu zahlreicheren und qualitativ hochwertigeren Ergebnissen, wird unter anderem von Stroebe und Nijstad widerlegt, indem nicht nur die kognitiven Prozesse des Individuums nher betrachtet, sondern auch die daraus resultierenden Auswirkungen auf die Produktivitt der Interaktion innerhalb des Kollektivs thematisiert werden. Sie entwickelten ein 2 Phasen-Modell, um die Generierung von Ideen zu erklren. In der ersten Phase wird Wissen aktiviert und in der zweiten Phase werden aus diesem Wissen neue Ideen generiert, da davon ausgegangen wird, dass neue Ideen stets auf bereits bekanntem Wissen oder alten Ideen aufbauen mssen. Dieser Prozess wird in Brainstorming-Gruppen gestrt, da jedes Individuum warten muss bis er das Wort hat, das sogenannte turn-taking. Belegt wurde dieses Phnomen, das man Produktionsblockierung nennt, durch Experimente von Paulus & Young, Dennis & Valacich sowie Diehl und Stroebe. Ein Lsungsvorschlag fr diese komplexen Problematiken ist beispielsweise das Niederschreiben der individuellen Ideen, bevor eine Verbalisierung und Auseinandersetzung mit den Ideen und Einwrfen anderer Brainstorming-Teilnehmer vorgenommen und verarbeitet werden muss. Dieses Verfahren nennt man Brainwriting. Dies knne auch elektronisch abgewickelt werden, um Verbalisierungsprozesse und Blockierungen wie die Wartezeit beim turn-taking in der Gruppe zu umgehen, indem man den Teilnehmern ermglicht Voschlge der anderen Teilnehmer live auf ihrem Bildschirm zu verfolgen. Da in unserem Szenario davon ausgegangen wird, dass die Brainstorming-Gruppe zusammen in einem Raum sitzt knnen wir das elektronische Brainstorming ausschlieen. Man kann jedoch Brainwriting nutzen, um die Produktionsblockierung im Meeting zu verringern. Auer dem Problem der Produktivittsblockierung existieren weitere negative Faktoren, die das Brainstorming beeintrchtigen knnen. Diese Grundregeln beinhaltet, dass die Teilnehmer keine Kritik an den Gedanken anderer verben, sondern lediglich Ergnzungen fr bestehende Ideen aussprechen drfen. Das heit, dass selbst beim Brainwriting und dem anschlieenden Vortragen der Ideen, es sehr wichtig ist, dass sich die anderen Teilnehmer zunchst mit Kritik zurckhalten und versuchen eventuell neue Ideen aus der kreativen Vorschlgen der anderen Mitarbeiter zu entwickeln. Des Weiteren sollte herausgestellt werden, dass die Entscheidung, die am Ende getroffen wird, Auswirkungen fr jeden Teilnehmer hat, damit die Teilnehmer ausreichend motiviert sind sich an dem Brainstorming-Prozess aktiv zu beteiligen. Bei der Prsentation und dem Vergleich der Ergebnisse, kann man im Vorfeld eine Kategorisierung der Ideen vornehmen. Da das Thema Reduzierung von Abfall ist, knnten dies zum Beispiel Kategorien sein wie Digitalisierung, redundante Prozesse, Vernderung von Prozessen oder auch Nutzung von anderen Rohstoffen (bspw. Altpapier). Durch Befragung der Teilnehmer, kann man weiterhin feststellen, ob es noch nicht genannte Themenfelder gibt, um zunchst die Breite des Themas festzustellen (heterogene Stimulierung). Im Anschluss kann man die Kategorien abarbeiten, wobei man stets ein Thema solange bespricht, bis keine neuen Vorschlge gefunden werden. Durch diese homogene Stimulierung kann man die Ausschpfung der Tiefe einer Kategorie verbessern, die nur schlecht erreicht wird, wenn man Kategorien hufig wechselt. Wenn nach dem Vortragen der einzelnen Ideen darauf aufbauend weiterfhrende Ideen gesammelt werden sollen, so wre es hilfreich, wenn man eine kurze Zeitspanne festlegt, die jeder bekommt, um seine neu gewonnen Ideen aufzuschreiben, damit das Kurzzeitgedchtnis entlastet werden kann. Daraufhin, kann man die Beobachtungen und Ergebnisse miteinander vergleichen und eventuell weitere Kategorien festlegen (Breite der Ideen) oder Vorschlge spezialisieren (Tiefe der Ideen)."
19;437;"Hallo nochmal!Wir haben jetzt 625 Wrter, ich hab ein wenig verndert und mit Word auf Rechtschreibfehler berprft. Guckt es euch ruhig nochmal an und verndert was, wenn es euch nicht gefllt :D Denke mal es ist soweit ganz gut.MfG und schnen Sonntag Abend Julian"
20;443;"Danke an alle, die mitgemacht haben - schnen Abend :)"
21;429;"Da das Thema Reduzierung von Abfall ist, knnten dies zum Beispiel Kategorien sein wie: Digitalisierung, redundante Prozesse, Vernderung von Prozessen oder auch Nutzung von anderen Rohstoffen (bspw."
